"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31013118120000","Chautauqua","Empire Energy E & P, LLC","11812","00","00","GD","Lakeshore","AC","Holmes 1287 1","Pomfret","Medina","12","2134","30","","2010"
"31009666060000","Cattaraugus","Mark T. Kellner Oil Co.","66606","00","00","OD","Bradford","AC","Kellner t4","Olean","Bradford Third","12","0","0","18","2010"
"31003697480000","Allegany","Ashe Oil Company","69748","00","00","OD","Richburg","IN","Central 62","Scio","Richburg","3","","0","2","2010"
"31009180460000","Cattaraugus","Empire Energy E & P, LLC","18046","00","00","GD","Lakeshore","AC","Hebner D 3","Otto","Medina","11","529","0","","2010"
"31003656920000","Allegany","Pine Oil Co.","65692","00","00","IW","Richburg","IN","Pine Oil 105","Genesee","Richburg","0","0","0","0","2010"
"31009240080000","Cattaraugus","Pennhills Resources, LLC","24008","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 2-11","Allegany","Bradford & Chipmunk","12","602","578","260","2010"
"31029148130000","Erie","Bunch, John","14813","00","00","GD","Alden-Lancaster","IN","Wilkinson","Lancaster","Medina","12","2","0","0","2010"
"31009187930000","Cattaraugus","Armstrong Gas Company, LLC","18793","00","00","OD","Bradford","PA","Enright & Barry 103","Carrollton","Bradford","6","","1","13","2010"
"31009112880000","Cattaraugus","McCracken Oil & Gas, LLC","11288","00","00","OD","Bradford","PA","Clark No 016","Carrollton","Chipmunk","12","","1","11","2010"
"31009172670000","Cattaraugus","Empire Energy E & P, LLC","17267","00","00","GD","Lakeshore","AC","Stone, R 1","Conewango","Medina","12","1624","0","","2010"
"31013110060000","Chautauqua","Empire Energy E & P, LLC","11006","00","00","GD","Lakeshore","AC","Jordan 1","Portland","Medina","12","1052","0","","2010"
"31009636520000","Cattaraugus","Stephan, Philip D.","63652","00","00","OD","Chipmunk","IN","Pfeiffer 31","Allegany","Chipmunk","12","","1","3","2010"
"31009247360000","Cattaraugus","Snyder Brothers, Inc.","24736","00","00","OD","Bradford","PA","Nichols Run SBNR4","Allegany","Chipmunk, Bradford 1st,2nd,3rd","12","206","14","242","2010"
"31037175820000","Genesee","United States Gypsum Company","17582","00","00","GD","Huron Creek","AC","Konfederath 2","Darien","Medina","12","3821","0","0","2010"
"31097230530100","Schuyler","Lone Wolf Operating, LLC","23053","01","00","GW","Watkins Glen","IN","WGI 1-A","Dix","Queenston","12","153","22","0","2010"
"31015239470000","Chemung","Repsol Oil & Gas USA, LLC","23947","00","00","GW","Steege Hill","AC","Gillis D 1","Southport","Black River","12","317503","435","0","2010"
"31003150570000","Allegany","SK Enterprises","15057","00","00","OD","Richburg","IN","Starr 2","Bolivar","Richburg","0","0","0","0","2010"
"31029223020000","Erie","Empire Energy E & P, LLC","22302","00","00","GD","Brant-Eden","AC","Catalano L 1","Brant","Medina","12","927","35","","2010"
"31011205080000","Cayuga","Minard Run Oil Company","20508","00","00","GD","West Auburn","AC","Staehr 802-4","Springport","Queenston","12","1675","0","0","2010"
"31003224930000","Allegany","PPP Future Development Inc.","22493","00","00","OD","Fulmer Valley","AC","Wormley, F 3","Andover","Fulmer Valley","12","37","0","5","2010"
"31013201520000","Chautauqua","PPP Future Development Inc.","20152","00","00","GD","Lakeshore","AC","Gertrude 1","Ellington","Medina","12","1546","0","","2010"
"31117050410000","Wayne","Norris, Robert E. III","05041","00","00","GW","Butler Creek","AC","Reed 1","Butler","Trenton","12","950","0","0","2010"
"31003639590000","Allegany","Saint John Exploration & Production, Inc.","63959","00","00","OD","Richburg","IN","Trio Farm 74","Bolivar","Richburg","0","0","0","0","2010"
"31013198980000","Chautauqua","Empire Energy E & P, LLC","19898","00","00","GD","Lakeshore","AC","Carlson, L 1","Poland","Medina","12","938","0","","2010"
"31003150520000","Allegany","Francis Root Oil Company","15052","00","00","OD","Richburg","IN","White Farm F-1","Alma","Richburg","12","","0","79","2010"
"31029133380000","Erie","Empire Energy E & P, LLC","13338","00","00","GD","Glenwood","AC","Brant 1784-I","Colden","Medina","8","550","0","0","2010"
"31003652300000","Allegany","C.O.G. Development & Resources, Inc.","65230","00","00","OD","Richburg","IN","Lincoln l7","Bolivar","Richburg","0","0","0","0","2010"
"31013250470000","Chautauqua","Nucomer Energy, LLC","25047","00","00","GD","Lakeshore","AC","Parker 1","Gerry","Medina","12","9309","90","0","2010"
"31009648770000","Cattaraugus","Carls, Kevin D","64877","00","00","OD","Bradford","PA","Wilson 22","Allegany","Bradford Third","12","","4","1","2010"
"31013182150000","Chautauqua","PPP Future Development Inc.","18215","00","00","GD","Lakeshore","AC","Abbey 3","Ellington","Medina","12","757","0","","2010"
"31037044790000","Genesee","Harris, William H. Jr.","04479","00","00","GD","Uhley Corners-Caledonia","AC","Harris 1","Pavilion","Medina","12","400","0","0","2010"
"31003555080000","Allegany","Simon of Bolivar Enterprises, Inc.","55508","00","00","OD","Richburg","PA","McDivitt 45","Bolivar","Not Applicable","0","0","0","0","2010"
"31053238590000","Madison","Minard Run Oil Company","23859","00","00","GE","Bradley Brook","AC","Dromgoole 3-333","Lebanon","Oneida","12","1797","43","","2010"
"31013113030000","Chautauqua","Johnson, Mark & Troy","11303","00","00","OD","Busti","AC","Eckstrom 1a","Busti","Glade","12","","0","30","2010"
"31023262670000","Cortland","Anschutz Exploration Corporation","26267","00","00","DW","Not Applicable","PA","Nael Cam Farms 1","Cortlandville","Not Applicable","0","0","0","0","2010"
"31013091690000","Chautauqua","Decker, James K. & Tiffany J.","09169","00","00","OD","Busti","IN","Muntz-Angle 9","Busti","Glade","12","","0","11","2010"
"31009622150000","Cattaraugus","M. J. McCaffery Oil Co.","62215","00","00","OD","Chipmunk","NR","Roggenbaum 6","Carrollton","Chipmunk","2","","0","4","2010"
"31101231870100","Steuben","Talisman Energy USA Inc.","23187","01","00","GW","Not Applicable","PA","Bauer 1-A","Corning","Black River","0","0","0","0","2010"
"31003055390000","Allegany","Saint John Exploration & Production, Inc.","05539","00","00","OD","Richburg","IN","Trio 501","Bolivar","Richburg","0","0","0","0","2010"
"31009552810000","Cattaraugus","Thomas A Miller Oil Co.","55281","00","00","OD","Four Mile","PA","Spring 13","Allegany","Bradford","0","0","0","0","2010"
"31101230450000","Steuben","Nathan Petroleum Corporation","23045","00","00","OD","Beech Hill-Independence","AC","Edwards II 20","West Union","Fulmer Valley","12","836","3","137","2010"
"31003668930000","Allegany","Burdick, Jeffery H","66893","00","00","OD","Richburg","AC","Mountain 13","Bolivar","Richburg","12","","20","10","2010"
"31003224920000","Allegany","PPP Future Development Inc.","22492","00","00","OD","Fulmer Valley","AC","McAndrew, R 48-1","Andover","Fulmer Valley","12","373","0","35","2010"
"31003622870000","Allegany","Plants and Goodwin, Inc.","62287","00","00","OD","Richburg","PA","Green 84","Bolivar","Richburg","10","0","3","4","2010"
"31003165530000","Allegany","Gilbert, Edward L.","16553","00","00","GD","Rushford","AC","Wilson Gilbert & Wf g-1","Rushford","Marcellus","0","0","0","0","2010"
"31003639300000","Allegany","Saint John Exploration & Production, Inc.","63930","00","00","OD","Richburg","IN","Trio Farm 112","Bolivar","Richburg","0","0","0","0","2010"
"31009233640000","Cattaraugus","Case Brothers Inc.","23364","00","00","OD","Bradford","AC","Stewart-Matson 34a","Carrollton","Bradford & Chipmunk","12","2497","15","124","2010"
"31009645990000","Cattaraugus","Putt, Floyd J.","64599","00","00","OD","Chipmunk","PA","Floyd Putt 2","Allegany","Bradford Second","0","","0","0","2010"
"31013118760000","Chautauqua","Empire Energy E & P, LLC","11876","00","00","GW","Big Inlet Pool","PA","Hall 400","Chautauqua","Medina","0","0","0","","2010"
"31029605500000","Erie","Masterson, Michael","60550","00","00","GD","East Aurora","AC","Stover 1","Aurora","Medina","12","6","0","0","2010"
"31009172750000","Cattaraugus","Empire Energy E & P, LLC","17275","00","00","GD","Lakeshore","AC","Shetler, N 1","Conewango","Medina","12","823","0","","2010"
"31013233930000","Chautauqua","Stedman Energy, Inc.","23393","00","00","GD","Lakeshore","AC","Weise 3","Chautauqua","Medina","12","3785","0","0","2010"
"31013246780000","Chautauqua","PPP Future Development Inc.","24678","00","00","GD","Lakeshore","AC","Bifaro 1","Hanover","Medina","12","5429","187","0","2010"
"31009246030000","Cattaraugus","Pennhills Resources, LLC","24603","00","00","OD","Bradford","AC","Rumsey Devonian Sec 9 Lot 2-173","Allegany","Upper Devonian","12","602","577","260","2010"
"31013148830000","Chautauqua","Empire Energy E & P, LLC","14883","00","00","GD","Lakeshore","AC","Winslow 608","Westfield","Medina","12","1956","0","","2010"
"31037031020000","Genesee","Page","03102","00","00","GD","Alden-Lancaster","UM","Stiles, J. F. 1","Darien","Medina","12","878","0","0","2010"
"31003219970000","Allegany","PPP Future Development Inc.","21997","00","00","GW","Richburg","IN","Friar, J 1","Genesee","Onondaga","0","0","0","","2010"
"31013221030000","Chautauqua","Cotton Well Drilling Company, Inc.","22103","00","00","GD","Lakeshore","AC","Magavern 2","Westfield","Medina","10","191","83","","2010"
"31101174430000","Steuben","GFS Energy, Inc.","17443","00","00","GW","Jasper","PA","Appleton 1","Jasper","Upper Devonian","0","0","0","","2010"
"31117239170000","Wayne","Lenape Resources LLC","23917","00","00","NL","Millpond","IN","Butler Creek (High) 1","Butler","Not Applicable","0","0","0","0","2010"
"31009636390000","Cattaraugus","Stephan, Philip D.","63639","00","00","OD","Bradford","IN","Pfeiffer 18","Allegany","Bradford","12","","0","5","2010"
"31099213210000","Seneca","Minard Run Oil Company","21321","00","00","GD","Fayette-Waterloo","AC","Larsen 1205","Fayette","Queenston","12","1810","0","0","2010"
"31009551460000","Cattaraugus","McCracken Oil & Gas, LLC","55146","00","00","OD","Bradford","PA","McCray 47","Carrollton","Bradford","0","0","0","0","2010"
"31009184860000","Cattaraugus","Empire Energy E & P, LLC","18486","00","00","GD","Lakeshore","AC","D Dankert 1","Otto","Medina","4","193","0","","2010"
"31013125800000","Chautauqua","Stedman Energy, Inc.","12580","00","00","GD","Lakeshore","AC","NYSRA 4-4","Harmony","Medina","11","1590","0","0","2010"
"31003636070000","Allegany","Simon of Bolivar Enterprises, Inc.","63607","00","00","OD","Richburg","AC","Wheeler 40 (P40)","Bolivar","Richburg","12","","0","8","2010"
"31011204610000","Cayuga","Minard Run Oil Company","20461","00","00","GD","West Auburn","AC","O'Hara (406-4)","Aurelius","Queenston","10","7820","8","0","2010"
"31013114880000","Chautauqua","Empire Energy E & P, LLC","11488","00","00","GD","Lakeshore","AC","Zook 276","Chautauqua","Medina","12","351","0","","2010"
"31013179680000","Chautauqua","Chautauqua Energy, Inc.","17968","00","00","GD","Lakeshore","NR","R. Dickerson 3","Westfield","Medina","1","200","0","0","2010"
"31029133160000","Erie","Frey Well Drilling, Inc.","13316","00","00","GD","Alden-Lancaster","AC","Snyder 1","Alden","Medina","12","521","0","0","2010"
"31013122860000","Chautauqua","PPP Future Development Inc.","12286","00","00","GD","Lakeshore","IN","Beldon 449","Arkwright","Medina","12","1851","265","0","2010"
"31009242100000","Cattaraugus","Pennhills Resources, LLC","24210","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-102","Allegany","Bradford & Chipmunk","12","602","578","260","2010"
"31009628750000","Cattaraugus","Case Brothers Inc.","62875","00","00","OD","Chipmunk","PA","George 50","Carrollton","Chipmunk","0","0","0","0","2010"
"31013192850000","Chautauqua","Empire Energy E & P, LLC","19285","00","00","GD","Lakeshore","AC","Smith, W 1","Poland","Medina","12","1771","0","","2010"
"31013147710000","Chautauqua","Cotton Well Drilling Company, Inc.","14771","00","00","GD","Lakeshore","IN","3129 Sweetman","Westfield","Medina","11","565","84","","2010"
"31013203950000","Chautauqua","Fuel Gas Technology, Inc","20395","00","00","GD","Lakeshore","AC","Radov 1","Portland","Medina","12","2026","0","0","2010"
"31053260890100","Madison","Minard Run Oil Company","26089","01","00","GD","Bradley Brook - Herkimer pool","AC","Lamb 1A-H","Lebanon","Herkimer","12","77692","0","","2010"
"31009176830000","Cattaraugus","Empire Energy E & P, LLC","17683","00","00","GD","Lakeshore","AC","Bobseine 1","Persia","Medina","2","1927","0","","2010"
"31009219430000","Cattaraugus","AC Oil LLC","21943","00","00","OD","Bradford","AC","Evans et1","Carrollton","Bradford","12","","3","31","2010"
"31013248700001","Chautauqua","PPP Future Development Inc.","24870","00","01","GD","Lakeshore","AC","Carlberg 3B","Poland","Medina","12","1664","70","0","2010"
"31009275970000","Cattaraugus","Pennhills Resources, LLC","27597","00","00","OD","Bradford","IN","Young 98","Olean","Upper Devonian","0","0","0","0","2010"
"31009666030000","Cattaraugus","Mark T. Kellner Oil Co.","66603","00","00","OD","Bradford","AC","Kellner t1","Olean","Bradford Third","12","0","0","18","2010"
"31003253980000","Allegany","Sam Koehler Enterprises, Inc.","25398","00","00","OD","Fulmer Valley","AC","Joyce 33","Andover","Penny & Fulmer Valley","12","476","305","304","2010"
"31003675390000","Allegany","Saint John Exploration & Production, Inc.","67539","00","00","IW","Richburg","IN","Big Four 2x","Bolivar","Richburg","0","0","0","0","2010"
"31003110720000","Allegany","Sam Koehler Enterprises, Inc.","11072","00","00","OD","Beech Hill-Independence","IN","Forsythe 13","Independence","Fulmer Valley","12","12","10","17","2010"
"31003606180000","Allegany","Collins, Dave","60618","00","00","OD","Richburg","AC","Jones 031","Bolivar","Richburg","0","0","0","0","2010"
"31121182000000","Wyoming","United States Gypsum Company","18200","00","00","GD","Danley Corners","AC","Igla 1","Bennington","Medina","12","590","40","0","2010"
"31013118790000","Chautauqua","Empire Energy E & P, LLC","11879","00","00","GD","Lakeshore","AC","Barrett 399","Chautauqua","Medina","12","3337","0","","2010"
"31013129440000","Chautauqua","Stedman Energy, Inc.","12944","00","00","GW","Lakeshore","AC","Simmental Ranch 1 6661","Harmony","Medina","4","916","0","0","2010"
"31009222790000","Cattaraugus","Case Brothers Inc.","22279","00","00","OD","Chipmunk","AC","Case 29","Carrollton","Chipmunk, Bradford 1st & 2nd","12","","1","16","2010"
"31013189800000","Chautauqua","Nucomer Energy, LLC","18980","00","00","GD","Lakeshore","AC","Morey, E 6335","Villenova","Medina","12","856","0","0","2010"
"31009241550000","Cattaraugus","Pennhills Resources, LLC","24155","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 1-62","Allegany","Bradford & Chipmunk","12","602","578","260","2010"
"31003697970000","Allegany","Hogan Energy, Inc.","69797","00","00","OD","Clarksville","PA","Nichols 6","Clarksville","Not Applicable","0","0","0","0","2010"
"31009658580000","Cattaraugus","Thomas A Miller Oil Co.","65858","00","00","OD","Bradford","IN","McDivitt 75","Olean","Bradford","9","","0","21","2010"
"31097232310000","Schuyler","Chris Glade Oil & Gas, LLC","23231","00","00","NL","Lodi","UL","Kopp 1","Reading","Queenston","0","0","0","0","2010"
"31029036550000","Erie","Iroquois Gas Corp.","03655","00","00","GD","Orchard Park-Hamburg","PA","Kelly Catherine B 1","Hamburg","Medina","0","0","0","0","2010"
"31013226470000","Chautauqua","PPP Future Development Inc.","22647","00","00","GD","Lakeshore","IN","Cardone 1","Busti","Whirlpool","0","0","0","0","2010"
"31099228640000","Seneca","Minard Run Oil Company","22864","00","00","GD","Fayette-Waterloo","AC","DJ Farms 624312","Fayette","Queenston","12","2530","0","0","2010"
"31013186930000","Chautauqua","PPP Future Development Inc.","18693","00","00","GD","Lakeshore","AC","Rublee 2","Ellington","Medina","12","0","0","","2010"
"31009235030000","Cattaraugus","McCracken Energy Services, LLC","23503","00","00","OD","Bradford","AC","McCray 117","Carrollton","Bradford Second","12","","0","192","2010"
"31009110480000","Cattaraugus","Empire Energy E & P, LLC","11048","00","00","GD","Utley Brook","AC","Nannen Zoar 4 1160","Otto","Medina","7","108","8","","2010"
"31121138920000","Wyoming","Miller, Kathleen M.","13892","00","00","GD","Leicester","AC","Wilkie 2","Warsaw","Medina","0","0","0","0","2010"
"31013124960000","Chautauqua","PPP Future Development Inc.","12496","00","00","GD","Lakeshore","AC","Smallback NY 37","Cherry Creek","Grimsby","12","1093","0","","2010"
"31003080320000","Allegany","Klein Oil & Logging","08032","00","00","OD","Beech Hill-Independence","AC","Austin-Bayard 30","Independence","Fulmer Valley","12","1","5","15","2010"
"31029036460000","Erie","Iroquois Gas Corp.","03646","00","00","GD","Orchard Park-Hamburg","PA","Schmidt Nellie 1","Hamburg","Medina","0","0","0","0","2010"
"31029251320000","Erie","PPP Future Development Inc.","25132","00","00","GD","Brant-Eden","AC","Stuhmiller 1","North Collins","Medina","12","5580","195","0","2010"
"31013170840000","Chautauqua","PPP Future Development Inc.","17084","00","00","GD","Lakeshore","AC","Enos/Frankson 1","Kiantone","Medina","12","2435","0","0","2010"
"31003646130000","Allegany","Burdick, Jeffery H","64613","00","00","OD","Richburg","PA","Murphy 2","Bolivar","Richburg","12","","20","10","2010"
"31013137080000","Chautauqua","Chautauqua Energy, Inc.","13708","00","00","GD","Lakeshore","NR","Chant 1","Sheridan","Medina","1","200","0","0","2010"
"31009258630001","Cattaraugus","Pennhills Resources, LLC","25863","00","01","OD","Bradford","AC","Young 34","Olean","Upper Devonian","6","211","333","214","2010"
"31009172100000","Cattaraugus","Nucomer Energy, LLC","17210","00","00","GW","Lakeshore","AC","Countryside Gravel 231","Dayton","Medina","12","949","0","0","2010"
"31009170960000","Cattaraugus","Empire Energy E & P, LLC","17096","00","00","GD","Lakeshore","AC","Hershberger, A 1","Conewango","Medina","12","2659","0","","2010"
"31013254690000","Chautauqua","Nucomer Energy, LLC","25469","00","00","GD","Lakeshore","AC","Swanson M 3","Gerry","Medina","12","8860","100","0","2010"
"31009052770000","Cattaraugus","Cal Ban Corp.","05277","00","00","OD","Five Mile","NR","Boser Overton 7","Allegany","Bradford","1","2","1","2","2010"
"31013113200000","Chautauqua","Wavepoint Realty NY, LLC","11320","00","00","GD","Lakeshore","AC","Red Wing 1","Pomfret","Medina","12","1116","0","0","2010"
"31013102930000","Chautauqua","Empire Energy E & P, LLC","10293","00","00","GD","Lakeshore","AC","Waite 34","Ripley","Medina","11","1364","0","0","2010"
"31011156630000","Cayuga","OI Auburn, Inc.","15663","00","00","GE","West Auburn","AC","Kirschner H & J 123-2","Aurelius","Queenston","12","1772","0","","2010"
"31009094720000","Cattaraugus","Mark T. Kellner Oil Co.","09472","00","00","OD","Bradford","AC","Coast 31","Olean","Bradford Third","12","0","0","82","2010"
"31003660340000","Allegany","Collins, Dave","66034","00","00","OD","Richburg","AC","Harder 23","Scio","Richburg","7","","0","1","2010"
"31009223150000","Cattaraugus","Empire Energy E & P, LLC","22315","00","00","GD","Lakeshore","AC","Dustin 1","Leon","Medina","12","284","0","0","2010"
"31011206170000","Cayuga","Minard Run Oil Company","20617","00","00","GD","West Auburn","AC","Gould 1062-4","Aurelius","Queenston","11","2664","69","0","2010"
"31013190560000","Chautauqua","PPP Future Development Inc.","19056","00","00","GD","Lakeshore","IN","Neil 1-A","Harmony","Medina","12","209","0","","2010"
